ComCd,EndDt,CashEqv,AccRec,OthRecIntrDivid,Inventories,OthCurrAss,TotCurrAss,TotalFixAss,IntangAss,TotNCurrAss,TotAss,AccPay,TotCurLia,TotNCurLia,TotLiab,PaidCap,CapResFund,RetainProf,TotShareEquit,TotLiabEquit,TotOpRev,OpRev,TotOpCost,RDExp,OpProf,TotProf,NetProf,NetProfContOper,BasicEPS,NetOpCashFl,NetInvCashFl,NetFinanCashFl,NetProf,FixAssDepr,DeferTaxDecr,InventDecr,BasicEPS,ROE,ROA,EBIT,Opeprfrt,Currt,Qckrt,CashRt,Netprfgrrt,Totassgrrt,ARTrat,Currat,Dbastrt,EqumulDP
C000639,2020/12/31,1775145107,236390784.1,15734750.04,609205229.1,437821906.9,3216283505,619000455,3122120289,4507638252,7723921757,243112568.5,2013340334,1417340347,3430680681,1079428095,1610045139,865953883.7,4293241076,7723921757,5779674622,5779674622,5374687616,103052176.7,397045760.5,414614172.9,339732264.5,339732264.5,0.29,702648968,-970991890.6,-328115544.2,339732264.5,52203690.55,-13829838.29,61943157.07,0.29,8.5683,4.283,511656751.8,6.8697,1.5975,1.2949,88.2901,135.2775,-5.113,19.3888,1.7151,44.4163,2.2079
C000639,2021/12/31,1639366899,267992397.8,15172849.96,979177501,61707270.2,3319585387,573412044.5,3039971282,4394360478,7713945866,508706278,2047498371,1208896583,3256394954,1079428095,1602287899,1045038247,4457550912,7713945866,6354734814,6354734814,6091974118,105359652,275810202.7,272394944.6,224463782.8,224463782.8,0.17,-176471601.6,431755848.1,-254377599.6,224463782.8,50154694.85,27899387.4,-369972271.9,0.17,4.8576,2.908,320856615.9,4.3402,1.6213,1.1431,80.2515,-33.9292,-0.2743,25.198,1.9446,42.2144,2.0796
C000676,2019/12/31,730194646.5,2267838545,275466278.7,443836.3,398832211.7,5004034067,9528178.49,334121466.1,4254735708,9258769775,1062612158,2548286988,55092818.26,2603379806,1326000097,3707887970,1713293975,6655389969,9258769775,10873746623,10853215610,10439353766,160564900.8,659750711.1,663692666.4,607107578.8,607107578.8,0.49,129280873.4,-806268875.4,298824955.8,607107578.8,3311420.39,-19930392.92,-440668.2,0.4936,9.2952,7.0806,673504453.2,6.0789,1.9637,1.9635,59.7058,-14.9607,17.3862,5.2145,2.3031,28.118,1.3687
C000676,2020/12/31,1104274266,1499961135,303528722.2,1382971.61,609184151.8,4090446966,7048448.82,106756087,1903363521,5993810486,759705576.2,2121571997,214237425.9,2335809423,1325700535,3783757750,-1238071572,3658001063,5993810486,10778491493,10716328383,11059460434,163688516.1,-2780803418,-2941303712,-2965464198,-2965464198,-2.31,-221105114.8,537454666,108318236,-2965464198,2788188.76,64775977.61,-939135.34,-2.2889,-78.0346,-38.5362,-2895763286,-25.7568,1.928,1.9274,58.0788,-584.8913,-34.9872,5.7637,2.3703,38.8394,1.4711
C000676,2021/12/31,997620713.3,893752862.1,168001929.5,43910111.48,659627415.3,3046034598,5461613.79,158791626.9,2037629251,5083663849,270901966.9,1228595350,42420181.59,1271015531,1276506972,3656316659,-1082536526,3812648317,5083663849,5844336538,5682085939,5664563588,117323147.5,133112678.5,115134664.2,127543405.5,127543405.5,0.1,181437904,28404824.29,-556863673.1,127543405.5,2315147.51,-23787536.17,-66831806.59,0.1046,3.4665,2.2974,136810103.1,2.3427,2.4793,2.4435,89.3902,104.3326,-16.2756,4.7475,1.6384,25.002,1.4738
C000681,2019/12/31,373304700.2,170575919.2,102987834.2,,10237990.52,691365728.7,3101153.98,116331191.5,3425813443,4117179172,128143230.4,651045381.1,392441904.7,1043487286,73892895,1613545654,1338242751,3073691886,4117179172,722107028.6,722107028.6,520756852.9,44031743.97,262424092,261917761.2,217459717.7,220686879.4,0.31,92621459.41,24823090,-271359026.2,217459717.7,1609259.26,-2319576.12,,0.3127,7.1265,5.2104,281550048.2,36.3414,1.0619,1.0619,60.713,-35.1351,-2.494,4.1534,0.8601,25.3447,1.4008
C000681,2020/12/31,301920309.9,172841007.4,39529362.41,,31265673.01,692117738.9,1980664.86,157439102.4,3346646720,4038764459,124164624.3,649393214.6,220252021.6,869645236.2,73892895,1626358642,1467082769,3169119223,4038764459,570451577.7,570451577.7,461344098.7,50196240.31,183292688.9,175995552.9,142303674.4,142303674.4,0.2,112482115.7,66497588.21,-163987215.9,142303674.4,1262240.26,1200144.65,,0.202,4.4715,3.4896,190057365,32.1312,1.0658,1.0658,52.3531,-34.5609,-2.138,3.3222,0.8247,21.5325,1.3068
C000681,2021/12/31,324946189.7,232528214.4,42963243.25,,2818922.36,640342292.7,1878800.2,182662481.3,3314008200,3954350492,147030951.2,492527998.3,197408127.7,689936126.1,73892895,1615068770,1585820966,3264414366,3954350492,657250842.5,657250842.5,565151944.8,64603903.27,165538168.5,164285714.9,154711282.2,154711282.2,0.22,105509717.5,-75266990.3,28546059.01,154711282.2,1079690.23,-235258.39,,0.2182,4.6906,3.8711,179870087.5,25.1865,1.3001,1.3001,71.3219,8.7191,-2.436,3.2427,0.9903,17.4475,1.2493
C000702,2019/12/31,99641836.03,2122160.28,2392765.11,119150867,4085680.88,261032188.9,258858704.4,31291197.84,417656943.7,678689132.6,29735346.27,106784157.4,13111277,119895434.4,266634576,180849422.9,33298597.68,558793698.2,678689132.6,1123012451,1123012451,1097889588,5593661.04,32444179.01,17252197.77,15340254.81,15340254.81,0.04,92052932.04,-53056496.33,-12763114.94,15340254.81,27207614.41,,52669516.98,0.0351,1.7364,2.1948,18934052.39,2.889,2.4445,1.3287,121.4055,-70.9341,-5.4027,395.7691,3.8236,17.6657,1.3199
C000702,2020/12/31,62598724.96,5282531.88,12263538.09,308061802.4,3732593.63,426367819.6,269387899.9,30582475.22,498943074.8,925310894.4,69750007.01,291462202.2,12098997.52,303561199.7,266634576,181773602.7,65136914.79,621749694.7,925310894.4,1068295560,1068295560,1052441985,5686205.28,61922229.17,42299572.57,33092299.52,33092299.52,0.13,-112245331.1,-51304535.61,127806756.4,33092299.52,36694823.33,,-190062928.6,0.1258,5.7808,4.1262,42967525.61,5.7964,1.4629,0.4059,24.1248,115.722,36.338,288.5456,3.1082,32.8064,1.4326
C000702,2021/12/31,102257039.4,3768858.94,4645711.66,227808187.6,3649586.96,349772879.6,263185054,27012074.28,551324950.3,901097829.9,81339974.46,521365544.2,101373647.2,622739191.4,266634576,185835643.2,-159542381.2,278358638.5,901097829.9,1431564907,1431564907,1534372632,3133212.52,-315391125.1,-329740168.5,-332614589.4,-332614589.4,-0.84,-128868398.9,-31724259.85,198250894.2,-332614589.4,59782714.94,,-120211129.3,-0.8412,-63.9746,-36.4228,-311733316.3,-22.0312,0.6709,0.2339,19.6133,-1105.1117,-6.6758,316.3193,3.7261,69.1089,2.0055
